,TestStatistic,1840pad,1840pbe,1840pcf,10310_4134pa,ski2008pa,23182pa,7207_339pa,SCRAPIE,9914_1261pa,2867pbd,2867pac,SCA,19677_1261pa,19677_1261pb,HD,14499pab,AllIndStudies,Meta,TestStatistic
,,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,all scrp,SCA,SCA,SCA,all SCA,Huntington,Huntington,all HD,Alzheim,,,
NM_001013026,-0.83279227610279,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.83279227610279
NM_001013371,0.980710609479203,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.980710609479203
NM_001017959,-0.999159898192286,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.999159898192286
NM_001017985,0.763324338443132,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.763324338443132
NM_001024703,-1.69275353195411,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.69275353195411
NM_001025093,-1.48387261160518,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.48387261160518
NM_001025156,0.561479344419437,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.561479344419437
NM_001025365,1.71041382204799,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.71041382204799
NM_001025372,-0.200389941634618,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-0.200389941634618
NM_001025431,-1.08846072400193,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.08846072400193
NM_001025617,-1.14778625569328,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.14778625569328
NM_001031667,1.10851887167103,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.10851887167103
NM_001033301,-2.38322272824001,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-2.38322272824001
NM_001033336,-0.523678767797749,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.523678767797749
NM_001033352,-2.43150579736818,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-2.43150579736818
NM_001033416,-1.56923917376016,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.56923917376016
NM_001033442,-2.10901879864107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-2.10901879864107
NM_001033453,1.79068819219991,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.79068819219991
NM_001037723,-0.989271841304701,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.989271841304701
NM_001037758,1.04873754944729,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.04873754944729
NM_001037940,-1.21066436592925,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.21066436592925
NM_001037999,-4.15491573936948,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-4.15491573936948
NM_001038492,1.12694460687964,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.12694460687964
NM_001038703,0.28687284114834,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.28687284114834
NM_001038993,-3.18477511005074,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-3.18477511005074
NM_001039077,-0.367401483624662,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-0.367401483624662
NM_001039147,-0.335972072567854,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.335972072567854
NM_001039160,-1.75210086123914,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.75210086123914
NM_001039386,2.85054020114277,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.85054020114277
NM_001039520,-1.11247064846741,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.11247064846741
NM_001039546,-1.73221626260547,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.73221626260547
NM_001040684,-0.748317488991746,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.748317488991746
NM_001042487,3.57922678583224,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3.57922678583224
NM_001044740,1.14615267028142,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.14615267028142
NM_001047435,2.92555618384142,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2.92555618384142
NM_001048148,0.397509577833126,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.397509577833126
NM_001076676,-0.016799836773881,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.016799836773881
NM_001077202,-1.28335787689019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.28335787689019
NM_001077359,-0.872849489347156,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.872849489347156
NM_001077364,0.909613213385947,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.909613213385947
NM_001077411,-0.515514681408964,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.515514681408964
NM_001079830,0.82161535080972,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.82161535080972
NM_001080126,0.339897986786482,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.339897986786482
NM_001080557,1.18177916568439,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.18177916568439
NM_001080742,1.38061220907857,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.38061220907857
NM_001081006,-0.2783792694713,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-0.2783792694713
NM_001081059,-0.019494603648403,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.019494603648403
NM_001081079,0.211513571997933,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.211513571997933
NM_001081169,1.34101099343722,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.34101099343722
NM_001081175,-2.44779657832948,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-2.44779657832948
NM_001081188,-1.52406971188499,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.52406971188499
NM_001081241,2.48832817180071,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2.48832817180071
NM_001081274,-1.02871388383551,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.02871388383551
NM_001081306,0.025360170723924,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.025360170723924
NM_001081454,0.147849096601649,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.147849096601649
NM_001082552,-1.49463511678813,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.49463511678813
NM_001083312,-1.72772753574314,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.72772753574314
NM_001083880,1.34645200712725,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.34645200712725
NM_001083901,-2.01116095651933,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-2.01116095651933
NM_001085378,1.67289684220998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.67289684220998
NM_001097979,-0.906223634296218,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.906223634296218
NM_001098271,-0.546893527701667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-0.546893527701667
NM_001098476,-0.769645087284273,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.769645087284273
NM_001099275,-1.68460159621909,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.68460159621909
NM_001101433,-0.949804739393242,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.949804739393242
NM_001101502,-0.085033395716582,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.085033395716582
NM_001109745,0.879207206186113,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.879207206186113
NM_001109761,-1.40329186210213,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.40329186210213
NM_001109992,3.19493198708002,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3.19493198708002
NM_001110140,3.3460055603711,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3.3460055603711
NM_001110498,-1.41355190391268,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.41355190391268
NM_001110783,2.07892913378147,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.07892913378147
NM_001111049,-2.12169081658339,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-2.12169081658339
NM_001111058,-0.075365811405862,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.075365811405862
NM_001111073,-0.475895816748188,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.475895816748188
NM_001111100,-1.76676366316699,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.76676366316699
NM_001111106,-0.8425631263682,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.8425631263682
